央视频道,#genre#
CHC高清电影,http://125.38.180.207:4022/udp/225.1.1.214:5002
CHC家庭影院,http://125.38.180.207:4022/udp/225.1.1.213:5002
每日影院,http://125.38.180.207:4022/udp/225.1.2.57:5002
新影老故事,http://125.38.180.207:4022/udp/225.1.1.188:5002
新影中学生,http://125.38.180.207:4022/udp/225.1.1.193:5002

河南频道,#genre#
河南卫视高清,http://219.157.48.211:8090/rtp/225.1.4.98:1127
河南都市频道高清,http://219.157.48.211:8090/rtp/225.1.4.52:1081
河南民生频道,http://219.157.48.211:8090/rtp/225.1.4.53:1082
河南法治频道,http://219.157.48.211:8090/rtp/225.1.4.54:1083
河南电视剧频道高清,http://219.157.48.211:8090/rtp/225.1.4.55:1084
河南新闻频道,http://219.157.48.211:8090/rtp/225.1.4.56:1085
河南欢腾购物,http://219.157.48.211:8090/rtp/225.1.4.57:1086
河南公共频道高清,http://219.157.48.211:8090/rtp/225.1.4.58:1087
河南乡村频道,http://219.157.48.211:8090/rtp/225.1.4.120:1149
河南国际频道,http://219.157.48.211:8090/rtp/225.1.4.102:1131
河南文物宝库,http://219.157.48.211:8090/rtp/225.1.4.100:1129
河南梨园频道,http://219.157.48.211:8090/rtp/225.1.4.99:1128
河南武术世界,http://219.157.48.211:8090/rtp/225.1.4.101:1130
河南移动电视,http://219.157.48.211:8090/rtp/225.1.5.40:1350
河南卫视,http://219.157.48.211:8090/rtp/225.1.4.51:1080
河南IPTV-导视,http://219.157.48.211:8090/rtp/225.1.4.194:1244
河南卫视4K,http://219.157.48.211:8090/rtp/225.1.4.254:1300
河南卫视HD,http://171.127.250.242:8083/rtp/226.0.2.52:8328
河南卫视,http://171.127.250.242:8083/rtp/226.0.2.195:9472
河南卫视HD,http://60.223.72.165:8002/rtp/226.0.2.52:8328
河南卫视,http://60.223.72.165:8002/rtp/226.0.2.195:9472
河南卫视,http://125.38.180.207:4022/udp/225.1.2.61:5002

卫视频道,#genre#
湖南卫视高清,http://219.157.48.211:8090/rtp/225.1.4.82:1111
江苏卫视高清,http://219.157.48.211:8090/rtp/225.1.4.83:1112
浙江卫视高清,http://219.157.48.211:8090/rtp/225.1.4.84:1113
北京卫视高清,http://219.157.48.211:8090/rtp/225.1.4.81:1110
东方卫视高清,http://219.157.48.211:8090/rtp/225.1.4.85:1114
天津卫视高清,http://219.157.48.211:8090/rtp/225.1.4.86:1115
山东卫视高清,http://219.157.48.211:8090/rtp/225.1.4.88:1117
安徽卫视高清,http://219.157.48.211:8090/rtp/225.1.4.87:1116
深圳卫视高清,http://219.157.48.211:8090/rtp/225.1.4.90:1119
江西卫视高清,http://219.157.48.211:8090/rtp/225.1.4.139:1305
湖北卫视高清,http://219.157.48.211:8090/rtp/225.1.4.89:1118
四川卫视高清,http://219.157.48.211:8090/rtp/225.1.4.151:1306
黑龙江卫视高清,http://219.157.48.211:8090/rtp/225.1.4.91:1120
云南卫视高清,http://219.157.48.211:8090/rtp/225.1.4.152:1307
贵州卫视高清,http://219.157.48.211:8090/rtp/225.1.4.122:1302
辽宁卫视高清,http://219.157.48.211:8090/rtp/225.1.4.167:1208
东南卫视高清,http://219.157.48.211:8090/rtp/225.1.4.228:1274
